ID,PIT_Tag,scale_factor,Sex,Maturity,Site,Control-Treatment?,Recap?,Notes,horizontal_eye_diameter,head_depth_through_eye,postorbital_length,head_length,maximum_body_depth,minimum_caudal_peduncle_depth,predorsal_length,postdorsal_length,pect-pelvic_distance,pelvic-anal_distance,pectoral-anal_distance,preanal_length,fork_length,fork_measured,dorsal_fin_base_length,anterior_dorsal_height,posterior_dorsal_height,anal_fin_base_length,anal_fin_height,pectoral_fin_length,pelvic_fin_length,adipose_fin_base,adipose_height,dorsal_end_length,dorsal_to_adipose,dorsal_reach_adipose,papillae,problems
31,3DD.003E270DAB,0.089959,F,MA,Belle,Control,N,,12.69,26.09,26.1,48.49,67.25,25.66,94.06,118.67,100.94,73.16,174.1,219.87,317.46,305,79.79,26.01,57.32,32.04,29.78,54.55,54.22,7.33,4.15,57.14,76.42,no,,no
32,3DD.003E270DBA,0.089271,M,MA,Belle,Control,N,,11.69,24.82,27.5,46.42,65.52,24.95,88.11,114.19,89.09,73.83,162.92,207.39,302.54,282,75.56,33.18,74.24,32.22,27.28,53.07,61.72,6.16,NA,78.12,73.04,yes,,no
33,3DD.003E270D95,0.072462,M,MA,Belle,Control,N,,12.97,24.42,24.35,46.74,49.59,18.88,80.37,103.6,74.42,65.6,140.02,183.62,256,243,55.55,23.62,46.59,25.42,21.76,42.95,42.89,5.42,2.96,41.85,66.76,no,,no
34,3DD.003E270DD7,0.104979,F,MA,Flat,Control,N,,9.35,26.24,32.96,49.57,67.5,26.49,100.18,137.55,105.09,94.7,199.79,249.98,358.98,357,94.18,30.68,70.62,36.64,33.64,65,63.54,7.54,4.74,70.29,89.79,no,,no
35,3DD.003E270DC9,0.060602,F,MA?,Flat,Control,N,"Borderline maturity, err on the side of immature but there did appear to be some eggs. ",10.42,18.97,18.06,33.88,41.58,15.76,67.88,85.88,66.84,56.5,123.34,155.93,220.19,227,50,24.47,24.05,19.94,17.68,34,30.83,5.21,2.93,19.45,54.45,no,,no
36,3DD.003E270DF1,0.069869,F,MA,Flat,Control,N,,9.5,21.66,22.92,39.42,49.31,17.88,72.95,93.5,69,57,126,169.65,244.06,238,56.74,25,27.47,25.83,23.95,40.7,37.69,5.72,3.1,31.8,69,no,,no
37,3DD.003E270DC5,0.104076,M,MA,Flat,Control,Y,,11.4,29.66,32.88,53.6,73.29,27.38,96.15,132.8,106.7,90.38,197.08,256.13,366.64,373,110.95,38,90.72,39.44,33.76,62.56,77.74,11,3.68,110.87,83.9,yes,,no
38,3DD.003E270DCE,0.066189,F,MA?,Flat,Control,N,,9.57,18.62,19.89,35.56,46.66,17.74,66,90,64.92,60,124.92,162.47,233.12,232,61.3,20,32.99,20.8,21.45,37.92,37.63,5.18,3.38,31.22,56.89,no,,no
39,3DD.003E270DBF,0.064055,F,IM,Flat,Control,N,"Borderline maturity, err on the side of immature but there did appear to be some eggs. ",9.1,17.81,18.45,33,42.67,16,64.14,81.16,60.73,55.28,116.01,148.68,212.89,207,49.35,20.16,23,21.87,18.74,32.78,33.57,5.62,3.9,19.63,51.91,no,,no
40,3DD.003E270DF3,0.073872,F,IM,Flat,Control,N,"Borderline maturity, err on the side of immature but there did appear to be some eggs. ",9.9,19.06,19.58,35.09,47.79,19.22,73.89,101.69,76.03,63.46,139.49,173.46,254.12,245,59.6,24.33,30.58,27.24,25.72,41.68,38.75,5.86,3.01,30,62.17,no,,no
41,3DD.003E270DE3,0.063662,F,IM,Flat,Control,N,"Borderline maturity, err on the side of immature but there did appear to be some eggs. ",9.48,18.68,18.27,33.71,45.76,17.58,63.46,91.88,62.27,59.97,122.24,155.53,228.73,221,55.65,17.39,32.89,23.9,20.46,35.11,35.11,4.5,2.72,29.42,61.18,no,,no
42,3DD.003E270DBO,0.116248,F,IM,Flat,Control,N,Definitley immature,8.02,15.58,18.6,31.04,42.43,15.93,63.84,82.32,63.3,55.8,119.1,151.17,216.69,210,51.59,17.94,30.6,19.91,20.79,35.62,34.27,4.5,2.34,26.1,51.32,no,,no
43,3DD.003E270DC8,0.085271,F,MA,Flat,Control,Y,,9.74,24.92,25.16,42.04,56.72,22.72,88.52,122.44,91.75,74.79,166.54,210.31,305.16,302,74.85,26.22,48.83,28.6,29.01,47.37,45.97,10.93,NA,43.69,74.6,no,,no
44,3DD.003E270DE4,0.05838,M,IM,Flat,Control,N,Definitley immature,8.03,16.02,16.89,30.31,37.26,15.44,61.36,85.12,64,54.39,118.39,146.15,210.95,207,46.24,22.72,26.15,20.22,19.68,33.54,32.31,4.85,2.81,23.96,53.38,no,,no
45,3DD.003E270DE2,0.070249,F,IM,Flat,Treatment,N,Definitley immature,9.13,17.65,18.74,29.44,52.17,19.91,61.2,95.82,67.91,62.28,130.19,162.19,240.17,232,60.96,26.84,38.71,24.6,22.36,40.1,39.78,5.65,3.99,39.83,63.71,no,,no
46,3DD.003E270D45,0.093311,F,MA,Flat,Treatment,Y,,11.2,26.32,24.55,44.14,62.89,23.52,91.36,139.09,103.39,84.01,187.4,227.71,316.72,308,78.71,30.13,61.97,27.61,31.98,52.27,54.45,9.5,NA,62.19,77.78,no,,no
47,3DD.003E270DAF,0.068453,F,IM,Flat,Treatment,N,Definitley immature,7.79,18.96,21.23,33.82,55.61,19.86,68.73,95.08,74.18,62.43,136.61,167.87,244.93,239,59.37,22.04,37.05,21.9,25.92,40.74,41.31,5.66,2.84,36.7,60.86,no,,no
